sd1	laest_info	rosiner	karakter	optage	R	afl_opg	oevelser	konc	studie	madvaner	hojde	synspunkter	arbejde	renovere_bolig	haekle	klatre	kantarel	rulleski	fodbold
ja meget	Ja det hele	Med	Det ønsker jeg ikke at svare på	nej det er lige meget	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Under 5 gange ialt	NA	naturressourcer	Jeg spiser både grønt, fisk og kød	NA	NA	NA	NA	NA	NA	NA	NA	NA
ja lidt	Nej slet ikke	Uden	7	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Halvdelen af gangene (ca. 1 gang om ugen)	30	naturressourcer	Jeg spiser både grønt, fisk og kød	176	Der bør være højere skat på flyrejser,Der bør være lavere skat på arbejde,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner	30	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
ja lidt	Ja det hele	Uden	10	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	2.5	naturressourcer	Jeg er veganer eller vegetar	182	Der bør være lavere skat på arbejde,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	6	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
ja lidt	Nej slet ikke	Med	2	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Det ved jeg ikke	Hver gang	NA	husdyrvidenskab	Jeg spiser både grønt, fisk og kød	164.5	NA	25	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
hverken ja eller nej	Ja en del af informationen	Uden	7	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Næsten hver gang	40	naturressourcer	Jeg er veganer eller vegetar	166	Der bør være højere skat på flyrejser,Der bør være lavere skat på arbejde,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner,Der stilles større krav til unge mennesker idag end før i tiden	14	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
ja meget	Ja en del af informationen	Uden	4	ja det vil være en stor fordel for mig	Jeg har aldrig brugt R	Ja	Halvdelen af gangene (ca. 1 gang om ugen)	45	andet	Jeg spiser både grønt, fisk og kød	169	Det skal være gratis at gå til tandlæge	10	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
hverken ja eller nej	Ja en del af informationen	Med	2	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	30	husdyrvidenskab	Jeg spiser både grønt, fisk og kød	170	Det skal være gratis at gå til tandlæge	12	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
ja lidt	Ja en del af informationen	Uden	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Halvdelen af gangene (ca. 1 gang om ugen)	45	bioteknologi	Jeg spiser både grønt, fisk og kød	181	Der bør være lavere skat på arbejde,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Der stilles større krav til unge mennesker idag end før i tiden	4	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	4	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	30	bioteknologi	Jeg spiser både grønt, fisk og kød	169	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge	1.75	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
ja lidt	Nej slet ikke	Uden	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	30	naturressourcer	Jeg spiser både grønt, fisk og kød	196	Der bør være højere skat på flyrejser,Der stilles større krav til unge mennesker idag end før i tiden	8	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
